CODE,COUNTRY,REGION
AL,UNITED STATES,NORTH AMERICA
AK,UNITED STATES,NORTH AMERICA
AZ,UNITED STATES,NORTH AMERICA
AR,UNITED STATES,NORTH AMERICA
CA,UNITED STATES,NORTH AMERICA
CO,UNITED STATES,NORTH AMERICA
CT,UNITED STATES,NORTH AMERICA
DE,UNITED STATES,NORTH AMERICA
DC,UNITED STATES,NORTH AMERICA
FL,UNITED STATES,NORTH AMERICA
GA,UNITED STATES,NORTH AMERICA
HI,UNITED STATES,NORTH AMERICA
ID,UNITED STATES,NORTH AMERICA
IL,UNITED STATES,NORTH AMERICA
IN,UNITED STATES,NORTH AMERICA
IA,UNITED STATES,NORTH AMERICA
KS,UNITED STATES,NORTH AMERICA
KY,UNITED STATES,NORTH AMERICA
LA,UNITED STATES,NORTH AMERICA
ME,UNITED STATES,NORTH AMERICA
MD,UNITED STATES,NORTH AMERICA
MA,UNITED STATES,NORTH AMERICA
MI,UNITED STATES,NORTH AMERICA
MN,UNITED STATES,NORTH AMERICA
MS,UNITED STATES,NORTH AMERICA
MO,UNITED STATES,NORTH AMERICA
MT,UNITED STATES,NORTH AMERICA
NE,UNITED STATES,NORTH AMERICA
NV,UNITED STATES,NORTH AMERICA
NH,UNITED STATES,NORTH AMERICA
NJ,UNITED STATES,NORTH AMERICA
NM,UNITED STATES,NORTH AMERICA
NY,UNITED STATES,NORTH AMERICA
NC,UNITED STATES,NORTH AMERICA
ND,UNITED STATES,NORTH AMERICA
OH,UNITED STATES,NORTH AMERICA
OK,UNITED STATES,NORTH AMERICA
OR,UNITED STATES,NORTH AMERICA
PA,UNITED STATES,NORTH AMERICA
RI,UNITED STATES,NORTH AMERICA
SC,UNITED STATES,NORTH AMERICA
SD,UNITED STATES,NORTH AMERICA
TN,UNITED STATES,NORTH AMERICA
TX,UNITED STATES,NORTH AMERICA
X1,UNITED STATES,NORTH AMERICA
UT,UNITED STATES,NORTH AMERICA
VT,UNITED STATES,NORTH AMERICA
VA,UNITED STATES,NORTH AMERICA
WA,UNITED STATES,NORTH AMERICA
WV,UNITED STATES,NORTH AMERICA
WI,UNITED STATES,NORTH AMERICA
WY,UNITED STATES,NORTH AMERICA
A0,CANADA,NORTH AMERICA
A1,CANADA,NORTH AMERICA
A2,CANADA,NORTH AMERICA
A3,CANADA,NORTH AMERICA
A4,CANADA,NORTH AMERICA
A5,CANADA,NORTH AMERICA
A6,CANADA,NORTH AMERICA
A7,CANADA,NORTH AMERICA
A8,CANADA,NORTH AMERICA
A9,CANADA,NORTH AMERICA
B0,CANADA,NORTH AMERICA
Z4,CANADA,NORTH AMERICA
B2,AFGHANISTAN,Middle East
Y6,ALAND ISLANDS,Europe
B3,ALBANIA,Europe
B4,ALGERIA,North Africa
B5,AMERICAN SAMOA,Oceania
B6,ANDORRA,Europe
